problem,granularity,scope,feature,classifier,parameters,val_acc,val_prec,val_rec,val_gmean,val_f1,val_mcc,train_time,val_time,test_acc,test_prec,test_rec,test_gmean,test_f1,test_mcc,test_time
cvss2_C,method,whole,subwords,rf,100-100,0.761,0.782,0.7,0.74,0.722,0.615,0.433,0.112,0.702,0.743,0.655,0.698,0.671,0.531,0.113
cvss2_C,method,whole,subwords,rf,100-200,0.785,0.803,0.738,0.77,0.759,0.655,0.544,0.11,0.729,0.762,0.688,0.724,0.705,0.574,0.11
cvss2_C,method,whole,subwords,rf,100-300,0.79,0.805,0.747,0.776,0.767,0.663,0.646,0.109,0.745,0.769,0.71,0.739,0.727,0.598,0.108
cvss2_C,method,whole,subwords,rf,200-100,0.756,0.776,0.692,0.732,0.713,0.607,0.651,0.111,0.709,0.758,0.664,0.709,0.681,0.542,0.113
cvss2_C,method,whole,subwords,rf,200-200,0.783,0.801,0.736,0.768,0.757,0.651,0.857,0.108,0.734,0.765,0.695,0.729,0.712,0.581,0.108
cvss2_C,method,whole,subwords,rf,200-300,0.79,0.807,0.748,0.777,0.768,0.662,1.09,0.113,0.749,0.772,0.714,0.743,0.731,0.606,0.112
cvss2_C,method,whole,subwords,rf,300-100,0.761,0.788,0.697,0.741,0.719,0.615,1.018,0.213,0.709,0.748,0.663,0.704,0.679,0.541,0.109
cvss2_C,method,whole,subwords,rf,300-200,0.774,0.789,0.725,0.756,0.745,0.636,1.241,0.111,0.743,0.769,0.706,0.737,0.723,0.595,0.108
cvss2_C,method,whole,subwords,rf,300-300,0.783,0.797,0.737,0.766,0.757,0.651,1.286,0.108,0.752,0.774,0.718,0.745,0.734,0.609,0.111
cvss2_C,method,whole,subwords,rf,400-100,0.756,0.771,0.695,0.732,0.715,0.607,1.215,0.21,0.705,0.749,0.657,0.702,0.674,0.534,0.213
cvss2_C,method,whole,subwords,rf,400-200,0.774,0.787,0.726,0.756,0.746,0.637,1.507,0.212,0.74,0.77,0.703,0.736,0.72,0.592,0.213
cvss2_C,method,whole,subwords,rf,400-300,0.785,0.798,0.738,0.767,0.757,0.655,1.807,0.21,0.745,0.765,0.711,0.738,0.727,0.598,0.211
cvss2_C,method,whole,subwords,rf,500-100,0.756,0.775,0.694,0.733,0.715,0.607,1.444,0.215,0.709,0.758,0.663,0.709,0.681,0.542,0.213
cvss2_C,method,whole,subwords,rf,500-200,0.77,0.783,0.717,0.749,0.737,0.629,1.842,0.21,0.736,0.77,0.699,0.734,0.716,0.585,0.214
cvss2_C,method,whole,subwords,rf,500-300,0.785,0.797,0.74,0.768,0.759,0.655,2.357,0.211,0.74,0.767,0.706,0.736,0.724,0.591,0.212
cvss2_C,method,whole,subwords,lgbm,100-100,0.852,0.854,0.827,0.841,0.838,0.764,40.321,0.014,0.812,0.81,0.796,0.803,0.802,0.706,0.009
cvss2_C,method,whole,subwords,lgbm,100-200,0.839,0.833,0.813,0.823,0.821,0.743,50.919,0.013,0.805,0.804,0.789,0.796,0.795,0.695,0.009
cvss2_C,method,whole,subwords,lgbm,100-300,0.839,0.833,0.813,0.823,0.821,0.743,50.01,0.013,0.805,0.804,0.789,0.796,0.795,0.695,0.009
cvss2_C,method,whole,subwords,lgbm,200-100,0.843,0.847,0.819,0.833,0.831,0.749,70.544,0.02,0.814,0.811,0.798,0.805,0.804,0.709,0.015
cvss2_C,method,whole,subwords,lgbm,200-200,0.846,0.846,0.817,0.832,0.829,0.753,87.186,0.016,0.796,0.792,0.779,0.785,0.784,0.681,0.021
cvss2_C,method,whole,subwords,lgbm,200-300,0.846,0.846,0.817,0.832,0.829,0.753,78.355,0.016,0.796,0.792,0.779,0.785,0.784,0.681,0.011
cvss2_C,method,whole,subwords,lgbm,300-100,0.846,0.849,0.822,0.835,0.833,0.753,86.779,0.022,0.812,0.81,0.795,0.803,0.802,0.705,0.016
cvss2_C,method,whole,subwords,lgbm,300-200,0.846,0.846,0.817,0.831,0.828,0.753,104.891,0.02,0.79,0.787,0.773,0.78,0.779,0.67,0.017
cvss2_C,method,whole,subwords,lgbm,300-300,0.846,0.846,0.817,0.831,0.828,0.753,101.123,0.02,0.79,0.787,0.773,0.78,0.779,0.67,0.02
cvss2_C,method,whole,subwords,lgbm,400-100,0.846,0.85,0.821,0.835,0.833,0.753,98.392,0.021,0.803,0.799,0.786,0.793,0.792,0.692,0.022
cvss2_C,method,whole,subwords,lgbm,400-200,0.843,0.844,0.812,0.828,0.825,0.75,114.832,0.022,0.787,0.784,0.77,0.777,0.776,0.667,0.018
cvss2_C,method,whole,subwords,lgbm,400-300,0.843,0.844,0.812,0.828,0.825,0.75,104.925,0.02,0.787,0.784,0.77,0.777,0.776,0.667,0.014
cvss2_C,method,whole,subwords,lgbm,500-100,0.839,0.839,0.814,0.827,0.825,0.742,105.237,0.026,0.801,0.796,0.783,0.79,0.789,0.688,0.015
cvss2_C,method,whole,subwords,lgbm,500-200,0.85,0.85,0.823,0.836,0.834,0.76,111.44,0.022,0.785,0.781,0.766,0.774,0.772,0.663,0.018
cvss2_C,method,whole,subwords,lgbm,500-300,0.85,0.85,0.823,0.836,0.834,0.76,116.388,0.021,0.785,0.781,0.766,0.774,0.772,0.663,0.013
